"Id","IsDeleted","Name","CreatedDate","CreatedById","LastModifiedDate","LastModifiedById","SystemModstamp","DateStartInterval","IntervalDays","FeedElementId","Parent","ItemCount","NetworkScope"
"0ODf40000018jb4GAA","0","00000048","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001gMLy8CAG","00Tf400001HpWMl","1","I"
"0ODf40000018jb5GAA","0","00000049","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","005f4000002cd9IAAQ","2019-06-02 13:16:40","2019-06-02 00:00:00","7","0D5f400001f7G0QCAU","00Tf400001HmzLt","1","I"
"0ODf40000018mNgGAI","0","00000050","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001gNRsfCAG","00Tf400001HpkQ5","1","I"
"0ODf40000018mNhGAI","0","00000051","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001gP63YCAS","00Tf400001InYQb","1","I"
"0ODf40000018mNiGAI","0","00000052","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hGbbACAS","00Tf400001Ioskz","1","I"
"0ODf40000018mNjGAI","0","00000053","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hGbexCAC","00Tf400001Iosmv","1","I"
"0ODf40000018mNkGAI","0","00000054","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hZwvLCAS","00Tf400001IpfDh","1","I"
"0ODf40000018mNlGAI","0","00000055","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hZwxmCAC","00Tf400001IpfEG","1","I"
"0ODf40000018mNmGAI","0","00000056","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hZxEgCAK","00Tf400001IpfDr","1","I"
"0ODf40000018mNnGAI","0","00000057","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hZxFVCA0","00Tf400001IpfDw","1","I"
"0ODf40000018mNoGAI","0","00000058","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001hZxFXCA0","00Tf400001IpfDx","1","I"
"0ODf40000018mNpGAI","0","00000059","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001haP1zCAE","00Tf400001Ipk11","1","I"
"0ODf40000018mNqGAI","0","00000060","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","005f4000002cd9IAAQ","2019-06-09 13:16:53","2019-06-09 00:00:00","7","0D5f400001gNRdmCAG","00Tf400001HpkP2","1","I"
"0ODf40000018rSYGAY","0","00000061","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","2019-06-23 00:00:00","7","0D5f400001ibrUNCAY","00Tf400001K20pv","1","I"
"0ODf40000018rSZGAY","0","00000062","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","2019-06-23 00:00:00","7","0D5f400001ibs5DCAQ","00Tf400001K20q5","1","I"
"0ODf40000018rWHGAY","0","00000063","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","2019-06-23 00:00:00","7","0D5f400001j8gyUCAQ","00Tf400001K3JX7","1","I"
"0ODf40000018rWIGAY","0","00000064","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","005f4000002cd9IAAQ","2019-06-23 13:18:04","2019-06-23 00:00:00","7","0D5f400001jq2AICAY","00Tf400001LQohd","1","I"
"0ODf40000018wV8GAI","0","00000065","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","2019-07-07 00:00:00","7","0D5f400001lbVqhCAE","00Tf400001Mo7vy","1","I"
"0ODf40000018wV9GAI","0","00000066","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","2019-07-07 00:00:00","7","0D5f400001ly9zKCAQ","00Tf400001MpcG4","1","I"
"0ODf40000018wVAGAY","0","00000067","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","005f4000002cd9IAAQ","2019-07-07 13:18:49","2019-07-07 00:00:00","7","0D5f400001lDDWmCAO","00Tf400001MnDmF","1","I"
"0ODf400000192HvGAI","0","00000068","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","2019-07-21 00:00:00","7","0D5f400001nKAvzCAG","00Tf400001OaWXU","1","I"
"0ODf400000192HwGAI","0","00000069","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","2019-07-21 00:00:00","7","0D5f400001nkVGwCAM","00Tf400001Ob15z","1","I"
"0ODf400000192HxGAI","0","00000070","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","005f4000002cd9IAAQ","2019-07-21 13:17:07","2019-07-21 00:00:00","7","0D5f400001nkVXMCA2","00Tf400001Ob1Ak","1","I"
"0ODf40000019CxLGAU","0","00000071","2019-08-18 13:17:13","005f4000002cd9IAAQ","2019-08-18 13:17:13","005f4000002cd9IAAQ","2019-08-18 13:17:13","2019-08-18 00:00:00","7","0D5f400001tP8soCAC","00Tf400001SnS7X","1","I"
"0ODf4000001SXYyGAO","0","00000017","2019-03-03 14:16:16","005f4000002cd9IAAQ","2019-03-03 14:16:16","005f4000002cd9IAAQ","2019-03-03 14:16:16","2019-03-03 00:00:00","7","0D5f400001KQbM1CAL","00Tf40000159ROq","1","I"
"0ODf4000001SXYzGAO","0","00000018","2019-03-03 14:16:16","005f4000002cd9IAAQ","2019-03-03 14:16:16","005f4000002cd9IAAQ","2019-03-03 14:16:16","2019-03-03 00:00:00","7","0D5f400001KMmdQCAT","00Tf40000158cuC","1","I"
"0ODf4000001SqPSGA0","0","00000019","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","2019-04-14 00:00:00","7","0D5f400001UFOctCAH","00Tf400001Av2p1","1","I"
"0ODf4000001SqPTGA0","0","00000020","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","2019-04-14 00:00:00","7","0D5f400001Uy5uZCAR","00Tf400001Be3Cj","1","I"
"0ODf4000001SqPUGA0","0","00000021","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","005f4000002cd9IAAQ","2019-04-14 13:14:48","2019-04-14 00:00:00","7","0D5f400001Uy6LCCAZ","00Tf400001Be3Ry","1","I"
"0ODf4000001hJRGGA2","0","00000072","2019-11-24 14:17:57","005f4000002cd9IAAQ","2019-11-24 14:17:57","005f4000002cd9IAAQ","2019-11-24 14:17:57","2019-11-24 00:00:00","7","0D5f4000027wYgXCAU","00Tf400001cYVtP","1","I"
